,ItemId,PromptId,Score1,AnswerText
751,3_5682,3,0,Pandas and koalas are similar because the both eat plants. Pandas and koalas are different from pythons because they are most reptiles. Pythons also feed on living things.
1326,3_6291,3,0,"Pandas in China are similar to koalas in Australia because they are both generalist species. Pythons are a specialist species. The article states that ""we live in an age that leaves generalists rather than specialists"". People in general tend to relate better to a panda rather than a snake. The article says being it is ""no mistake"", That the generalist species do better in places they live in."
1433,3_6401,3,0,China's panda is similar to Australia's koala because they basically eat the same thing act the same. They're different from pythons because they don't eat other animals. Most people would think a panda is better than a python because snakes can be dangerous.
338,3_5258,3,0,"pandas in China and koalas in Australia are similar because they are becoming extinct this is different because pythons are becoming more popular because in paragraph 3 it says "" The pet increasing estimates that 4.8 million households now contain one or more reptiles, a number that nearly doubled in a decade."
1404,3_6371,3,0,Panda and Koala eat the same type of plants.
719,3_5649,3,0,Pandas are similar to koalas because they both are specialist species and they both eat very little. They also will become endangered as the earth continue to industrialize and expand.
611,3_5538,3,0,Pandas in China and koalas in Australia they are both similar that eat plants and doesn't eat meat or human they are different to pythons that they are bears the pythons is a sneak and the python don't eat plants.
1007,3_5951,3,0,Pandas and koalas in Astralia and China are the same because they are not indangered and they are not kepts as pets. The difference is they arent pets like pythons.
1759,3_6754,3,0,"In the story it explains how the panda from China only eats bamboo, and how Australia's koala exclusively eats eucalyptus leaves. Both these animals however, eat whatever they can, and want to."
1872,3_6903,3,0,"How panda's in China are similar to Koalas in Australia is they are bears, and they both almost eat the same things, they both can clime trees: the eat leaves, and fruit. They both are diffrent from pythons because they are not a reptile also they can not fit the same amount in there mouth in one bite like a python. they don't eat most of what pythons eat and also they do not shed there skin/scales."
1885,3_6924,3,0,"There both a form of bear, and live where there from. A snake is a reptile and can't survive in all of the U.S."
2046,3_7175,3,0,"Based on the article, China's Panda an Australia's Koala are similar because both animals barely eat a variety of food. That can increase food for the people in their country. Both animals are different from pythons because unlike pythons, they are safe to be around. And according to the article, pythons are carnivores,but Pandas and Koala only eat plants."
1048,3_5995,3,0,The China panda and Australia's koala are similar because they are both bears. The pythons are different from them because they are snakes and they don't eat plants and leaves.
1798,3_6799,3,0,Pandas in China are similar to koalas in Australia cause they are custom to the seasons and can surive. They are different to pythons because if pythons go to cold places they can die cause they can't handle the weather. Thats why they live in places like Florida and Texis.
200,3_5118,3,0,China's panda and Australia's koala's are both hervibores and they are both different from the pythons are carnivores and a threat to humans.
616,3_5543,3,0,Pandas and koala bears are similar because they are both bears. They live in different areas but could adapt to knew places if they wanted to pythons are reptiles and can't adapt to climates that are different than the ones they live in.
24,3_4942,3,0,"Pandas in China and koalas in Australia are similar because they both eat food from nature, for example pandas eat bamboo, and koalas eat eucalyptus leaves. The difference between the two koala and panda from a python is the different environments they live in . For example, the pythons lives along the canals of Cape Coral, pandas and koalas live near forest"
1585,3_6563,3,0,"Pandas in China are similar to koalas in Australia because they are both specialists. The difference is that the panda eats almost nothing but bamboo, and the koala eats eucalyptus and leaves almost exclusively. And a python is different from pandas and koalas because they are wild life animals."
1187,3_6141,3,0,The pandas and koalas are similar because they both live lone lives because the are firendly with human intention and they both only eat one thing pandas eat bambo and koalas eat everglades.
2144,3_7328,3,0,They are similar because they are both Bear's and they live in the same climate. They are different from pythons because a python is a reptile and a polar Bear and koaks are not.
1620,3_6604,3,0,Pandas in China are similar to koalas in Australia because they are both harmless creatures. Pandas eat almost nothing but bamboo and koala bears eat eucalyptus leaves almost exclusively. They are both different than pythons because they don't eat or scare people. A python eats humans if they get the chance. Pandas and koalas are harmless and a python is harmful.
218,3_5136,3,0,Pandas and Koalas are alike and they are both rare animals. They are different because Pandas eat nothing but bamboo and Koalas eat nothing but eucalyptus leaves.
468,3_5390,3,0,"Even though pandas live in China and eat almost nothing but bamboo and koalas live in Australia and eat almost nothing but eucalyptus leaves, they both have a major similarity. They are both specialists. A python is also a specialist giving these 3 animals something in common."
2036,3_7162,3,0,Pandanas from China like the warm wether and the koalas from Australia like the warm wether to that how they are alike. They are different from pythons cause they are not snacks.
1804,3_6805,3,0,They are similar because they are not as visious as reptiles and reptiles are more dangerous then the to.
594,3_5520,3,0,Pandas in China are similar to koalas in Australia they both eat nothing but leaves. They are both different from pythons because in the article it says that a python can reach seven feet in length. Pythons are seen in multiple location in remote regions of the Everglades.
1212,3_6169,3,0,They are similar because the both eat plants. The panda eats bamboo and the koala eats leaves.
1272,3_6235,3,0,"Pandas in China are similar to koalas in Australia because of there diet. In paragraph 21 it says ""A specialist is china's panda which eats almost nothing but bamboo, or Australias koala bear which eats eucalyptus leaves almost exclusively. This shows that they are harmless because of they're vegetarian diet."
1304,3_6269,3,0,Pandas and koalas are alike because they both don't eat meat and are not threats. They are diffent from cobras because cobras are very deadly animals and eat anything.
643,3_5571,3,0,Pandas in China and koalas in Australia are different from pythons. Pandas eat almost nothing but bamboo and koalas eat exclusively eucalyptus leaves.
1292,3_6256,3,0,Pandas in China are similar to koalas in Australia because they barely eat anything. A panda and a koala differ from a python is not without on environmental conscient.
513,3_5437,3,0,Pandas in China are similar to koalas in Australia because panda in china eats almost nothing but bamboo and Australia koala bear eat eucalyptus leaves. There different because they eat plants and pythons eat animals.
2066,3_7202,3,0,Pandas in China are similar to koalas in Australia by they are both in the bear family. They are different from pythons by pythons don't eat plants.
1938,3_6999,3,0,Well pandas in China are always eating the bamboo and koala in Australia eats alot of leaf and the panda is bigger in size and the koala is way smaller than the panda and the koala eats eucalyptus the it almost exclusively macinnes is not without the enviroment.
379,3_5299,3,0,"The way that pandas in china are similar to koalas in Australia and how they both are different from pythons is because, they both are specialists. They're different from a python because pythons are generalists."
604,3_5531,3,0,Pandas in China are similar to koalas in Australia because they only eat one thing. Pandas eat bamboo and koalas eat eucalyptus. They are both different from pythons because pythons habitat stretching from California to Delaware and including much of the south. Pythons can conceivably snacking their way up to Potomac.
2159,3_7350,3,0,Pandas in china are similar to koalas in Australia because they have happy name along the canals of cape coral.
367,3_5287,3,0,Pandas are similar to Koalas because they eat nothing but eucalyptus. They are different than pythons because pythons would eat any thing.
1400,3_6367,3,0,Pandas in China are similar to koalas in Australia because they are bothe animals you could keep as pets. They are very large animals. They are different from pythons because pythons are kept in many parts of the United States and in the world. Pandas and koalas would be close to impossible to keep as a pet because you couldn't just lets it go into the wild it would need the right surrounding.
2050,3_7182,3,0,Pandas in China are similar to koalas in Australia because they are both specialist. These two animals are different than pythons because pythons are generalist. Pythons are favored rather than specialists.
1359,3_6325,3,0,"A python is a generalist. The China's panda and the Australia's koala are a specialist. They all eat different things and come from different places. But, in my eye's what the have the same is that their harmful and rarely kept has home pets."
1322,3_6287,3,0,"In the article it says pandas and koalas both eat plants. This differs from the python, because unlike pandas & koalas, pythons are carnivores."
