,Unnamed: 0,id,text,prompt,score
2,2,en_cw_000003,savoir quelle quantité de vinaigre a été utilisée dans chaque récipient\n savoir quelle taille/type de récipient utiliser\n savoir combien de temps chaque échantillon a été rincé à l'eau distillée .,1,3
19,19,en_cw_000020,"Il faut dire quel type de matériau des quatre types d'échantillons ce n'est qu'à la fin que l'on déduit ce qu'ils peuvent être.\NVous devez également déterminer quel doit être le poids ou la taille moyenne de ces échantillons.\NÀ la fin, vous devez vérifier les résultats pour savoir ce qu'ils signifient.",1,2
23,23,en_cw_000025,Taille des récipients.\N Millilitres de vinaigre à ajouter dans le récipient.\N Les échantillons doivent avoir la même taille ?,1,3
24,24,en_cw_000026,JE DOIS NOTER LA QUANTITÉ DE VINAIGRE UTILISÉE DANS CHACUN DES RÉCIPIENTS.,1,1
47,47,en_cw_000055,"La nature du matériel fourni, si l'on peut répéter l'expérience seul, si les résultats de l'expérience peuvent être faussés.",1,0
72,72,en_cw_000083,1- la concentration de vinaigre.\n 2- le type de bois.\n 3- le type de plastique.,1,1
107,107,en_cw_000122,"""Je dois d'abord déterminer la masse initiale, et je ne comprends vraiment pas la quatrième étape quand ils disent """"rincer chaque échantillon avec de l'eau distillée"""", je pense que cela pourrait être un problème et peut contaminer l'échantillon.""",1,0
108,108,en_cw_000123,"Le marbre, le calcaire et le bois sont d'excellents composants",1,0
110,110,en_cw_000125,"J'aurais besoin de savoir quel type de vinaigre ils ont utilisé, quelle quantité de vinaigre a été mise dans chaque récipient et de quoi étaient faits les récipients.",1,2
138,138,en_cw_000158,"1. J'aurais besoin de savoir si les échantillons ont été laissés sous un ciel clair ou sous un toit. Les facteurs environnementaux affecteraient radicalement les résultats. 2. S'ils ont été conservés à l'extérieur, il serait bon de connaître les conditions météorologiques de ces 24 heures. 3. Enfin, le morceau de bois était-il une sorte de branche ou était-il du bois traité avec une sorte de résine ?",1,0
145,145,en_cw_000166,il n'est pas possible que le bois n'ait aucune réaction.,1,0
149,149,en_cw_000170,"quelle est la forme de la matière, qualité du vinaigre, quantité de vinaigre, quantité de matière",1,1
152,152,en_cw_000173,"J'aimerais connaître la taille des échantillons, s'ils doivent être approximativement de la même taille ou si cela n'a pas d'importance. Quel type de récipient est nécessaire, similaire à celui du matériel de laboratoire, c'est-à-dire du verre, ou n'importe quel type de récipient peut-il convenir ?",1,2
170,170,en_cw_000191,"""Tout d'abord, je dois connaître l'hypothèse de l'expérience pour m'assurer qu'elle est confirmée ou non, à savoir : """"après _24 heures de trempage de 4 échantillons différents dans du vinaigre, l'échantillon qui a le plus petit changement de masse est le moins affecté par les pluies acides du vinaigre"""", puis je dois connaître le volume exact de vinaigre à ajouter aux 4 échantillons pour m'assurer qu'il est constant pour les 4 échantillons. \De plus, il est préférable d'avoir un poids constant pour les 4 matrices car le temps est coûteux (24 heures) donc la masse initiale doit être constante aussi pour avoir des données plus précises et je devrais faire plus d'essais, au moins trois essais pour avoir des résultats précis.""",1,1
180,180,en_cw_000201,Utilisez ces données pour déterminer le résultat,1,0
212,212,en_cw_000235,"Très bon travail mec, c'est un putain de bon record.",1,0
242,242,en_cw_000270,La masse du bois n'a pas changé. Le meilleur changement de masse est celui du calcaire. Même le plastique a vu sa masse diminuer.,1,0
250,250,en_cw_000278,"on compare les différentes masses, aussi bien la masse initiale que la masse finale pour observer les résultats obtenus et le changement produit par l'expérience.",1,0
264,264,en_cw_000292,Quel type de vinaigre faut-il utiliser ? Tous les matériaux doivent-ils avoir la même surface ? Quelles doivent être les dimensions des récipients par rapport à la surface des matériaux ?,1,2
