,Unnamed: 0,id,text,prompt,score
27,27,en_cw_000031,"wie die Proben präsentiert werden sollen, in einem einzigen Stück oder in mehreren kleinen oder gemahlenen Stücken",1,1
35,35,en_cw_000042,Methode zur Bestimmung der Masse der verschiedenen Proben.\n Menge des in die Behälter zu gießenden Essigs.\n Größe der verwendeten Behälter.,1,2
86,86,en_cw_000097,"1. Sie müssen wissen, um welche vier verschiedenen Proben es sich handelt.\n 2. Sind die Proben alle gleich groß, und wenn ja, wie groß sind die einzelnen Proben? 3. Wie viel Essig wird in jedes Gefäß gegossen.",1,3
91,91,en_cw_000102,"Einige zusätzliche Informationen, die ich benötigen würde, sind: Menge und Art des verwendeten Essigs, Größe und Art des Behälters und wie lange jede Probe gespült wurde.",1,3
95,95,en_cw_000108,"Starre Masse, Endmasse, Massendifferenz",1,0
113,113,en_cw_000128,"Probengröße: Wenn man ein Experiment durchführt, erhält man in der Regel eine Probengröße, um zu wissen, welche Art von Behältern, welche Skala und andere Dinge man verwenden wird. \n Menge Essig, wenn es nur ist, um den ph-Wert zu ändern, sollte zumindest sagen, ein paar Tropfen oder so etwas wie das.\n wo sollte ich sitzen die Tassen zu trocknen? ist Open-Air-Theke oben gut für die Genauigkeit des Experiments?",1,2
123,123,en_cw_000140,das Experiment mit jeder Probe wiederholen,1,0
150,150,en_cw_000171,MASSENMENGE FÜR JEDE PROBE\n ESSIGMENGE FÜR JEDE PROBE\n TEMPERATUR DER UMGEBUNG,1,1
154,154,en_cw_000175,"Zunächst würde ich gerne wissen, welche Art von Essig für dieses Experiment verwendet wurde. \n Sind besondere Bedingungen im Labor erforderlich? Aus welchem Material waren die Behälter? Waren sie offen oder hatten sie Deckel?",1,1
181,181,en_cw_000202,nach 30 Minuten Kalkstein mit mehr Veränderungen und das Ausmaß der Veränderungen in das Holz nicht leiden Veränderungen jeglicher Art,1,0
185,185,en_cw_000207,die Probe absieben,1,0
187,187,en_cw_000209,Größe der einzelnen Proben\n Volumen des Behälters,1,2
196,196,en_cw_000218,"- Mit diesem Versuch soll die Reaktion des Materials auf saures Wasser nachgewiesen werden - die Dosis des sauren Wassers muss angegeben werden. Zum Beispiel: 50 ml / Liter\n - Bestimmen Sie die Möglichkeiten, die bei der Reaktion auftreten",1,0
217,217,en_cw_000240,"Bestimmen Sie, welche Außenfläche jede Probe haben muss?",1,1
236,236,en_cw_000264,1) Waage zum Wiegen der Proben vor und nach dem Experiment.\n 2) Vorübergehend.\n 3) Wasserfilter.,1,0
239,239,en_cw_000267,dualen Fall ist die Masse am geringsten,1,0
266,266,en_cw_000294,"Marmor 9,00 8,5 -0,5\n Kalkstein 300 308 +8\n Holz 12 12 0,0\n Kunststoff 500 490 -10",1,0
271,271,en_cw_000299,"Die Menge des verwendeten Essigs, die Temperatur der Außenumgebung und die Art der verwendeten Behälter.",1,2
273,273,en_cw_000301,"Vielleicht müsste ich die Raumtemperatur, die Exposition gegenüber natürlichem/künstlichem Licht und das Material der vier Behälter kennen.",1,0
