id	text
en_000001	我们需要复制实验的_一些额外信息是：每个相同的容器中应放置多少醋，如何或用什么工具来测量四个不同样品的质量，以及在将四个样品从醋中取出后用多少蒸馏水来冲洗它们。
en_000002	看完实验后，我意识到你需要复制实验的额外信息是：第_一，你倒在每个容器中的醋的数量；第二，在开始实验前给容器贴上标签；第三，写一个结论以确保实验结果是准确的。
en_000003	你需要的是更多的试验，_一个控制装置，以及在每个杯子/烧杯中倒入准确数量的醋。你也可以每隔30分钟或1小时测量并检查质量。
en_000004	学生应该在程序中列出_什么石头更好，什么石头更差。
en_000005	为了让学生能够进行复制，他们需要告诉你用了多少醋，以及过期的材料需要_什么配方。
en_000006	我需要知道为_什么你要让不同的样品从容器中干燥出来。它们被晒成什么？
en_000007	为了成功地复制这个实验，我需要的信息是他们用于实验的正确测量方法，以及用于创造经验的材料。在_24小时后，从容器中取出样品，用蒸馏水冲洗每个样品。使其干燥30分钟可能不够长，无法真正确定每个样品的质量，特别是当你有多个不同质地的样品时。
en_000008	你需要更多的信息来复制这个实验。在实验过程中，你将需要样品的类型。你还需要知道每个容器中使用的醋的量。你还需要确切地知道如何对样品进行定量，以及使用_什么类型的容器（例如，塑料可能会改变结果）。
en_000009	你将需要的_一些额外信息是材料。你还需要知道容器的大小，以测量酸雨对它的影响。你需要知道每个样品用了多少葡萄籽。另一件有帮助的事情是，通过测量最好的方式知道样品石头有多大。
en_000010	为了复制这个实验，我们将需要增加_一些信息，如sticlenx声明四个样品是什么，你需要多少块，以及醋的量带来倒入容器和确定质量时你需要检索的仪器。然而，修改句子和重新发光将是需要的。
en_000011	为了复制该实验，我需要的额外信息
en_000012	复制实验需要的额外信息包括样品的大小。此外，你还需要知道醋的种类。此外，获得相同类型和大小的容器也很关键。
en_000013	复制该实验还需要两方面的信息。首先，该程序没有正式说明这_四个样品是什么。另外，该程序没有规定每个容器要倒多少醋。一个好的程序应该是这样规定的
en_000014	为了复制该实验，你需要
en_000015	我对这个程序的理解是，你取_四个样品，把它们放在看起来相同的不同容器中，在每个样品上都倒上醋，最后用普通水冲洗干净，让它们坐30分钟，直到它们变干。然后你终于可以看到这些样品之间的差异。
en_000016	我不知道发生了_什么!
en_000017	为了复制这个实验，我需要知道每种材料的形状，因为表面积扩大到醋的质量，会改变结果。我还需要知道要用多少醋和_什么尺寸的容器才能完全复制这个实验。
en_000018	我需要的额外信息是提出_一个假设，预测哪个样品在酸雨中的质量最高。之后，我将不得不提出我的因变量和自变量，这样我就可以告诉并看到每个人的质量是不同的。我将组织数据，看信息是否准确。然后我将写出结论，看我的假设是否正确，看我的结果是否正确。
en_000019	为了复制这个实验，我需要_一个吓人的东西，以便得到质量。接下来，我需要胶带和记号笔来标记容器。最后，我需要所有4个样品和量筒作为容器来复制这个实验。
en_000020	为了让我复制他们的程序，我需要知道他们使用了哪_四个样品，他们应该在他们的程序中包括这一点。另外，他们应该在24小时内把四个容器放在哪里，最后，他们应该包括什么类型的醋或什么品牌的醋，这样，当我做这个实验时，我会尽可能接近他们的实际做法，因此能够复制这个实验。
en_000021	你需要有_四个独立但相同的容器。你还需要在每个容器中倒入醋，以确定被放在其中的物品的质量。并且需要在每个容器中放置新的物品。
en_000022	为了复制这个实验，我需要知道_四个不同样品的质量，需要向容器中倒入多少醋，样品是由什么组成的，以及24小时后需要用多少水来冲洗它们。
en_000023	学生们的数据需要包括有多少溶液被倒掉。他们还需要找出开始时石头的重量是否相同。
en_000024	对于这个重复的实验，你需要知道每个杯子里到底用了多少醋。你还需要知道每个容器的尺寸有多大。此外，你还需要知道每个样品的大小，以保证你能把它们均匀地放在杯子里。
en_000025	我需要的_一些额外信息是他们倒的醋的数量。
en_000026	在阅读了小组的程序后，我需要知道他们使用的是_什么类型的醋，因为它可能是任何类型的，容器的尺寸是多少，因为容器可能有3种不同的尺寸，他们不会有有效的结果，他们还应该告诉我他们保持的是什么，因为我不知道要使用或控制什么变量。
en_000027	他们需要包括他们开始和结束的时间。还有他们使用的醋的量。还有每个样品的大小。
en_000028	1).获取4个不同的样本：大理石、石灰石、木材、塑料。^p 2).将每个样品放入4个不同的容器中。^p 3).在4个独立但相同的容器中分别倒入醋。^p 4).24小时后从容器中取出样品，用蒸馏水冲洗每个样品。^p 5).让样品静置并干燥30分钟。^p 6).确定每个样品的数据。^p 7).记录你的数据。
en_000029	为了复制这个实验，你需要知道样品是_什么。在这个小组的程序中，他们没有说明什么是
en_000030	在第_三步中，你需要知道每个样品的用量是多少。此外，在第四步中，你需要在每个容器中填入相同的数量，你必须对每块石头进行同样的冲洗。另外，没有控制变量。
en_000031	我需要复制实验的额外信息是添加你要把样品留在哪里_24小时。为了让我复制这个实验，他们需要添加的另一个信息是，明确说明自变量。我还需要他们说明在每个独立但相同的容器中要倒多少醋。
en_000032	你将需要_一个计时器来确定醋变干的时间。
en_000033	"对于这个实验，你实际上需要知道每个 ""样品 ""是_什么，使用的醋的量和每个 ""样品 ""的大小。"
en_000034	为了复制这个实验，我需要知道我将使用的样品。我还需要知道要用多少醋。我还需要知道要使用_什么类型的容器。
en_000035	为了复制这个实验，你需要知道要倒多少醋，你需要知道多少蒸馏水，你还需要知道如何称量它。
en_000036	好吧，我需要知道问题陈述是_什么。我需要知道我们使用的是什么类型的杯子，我需要知道我们使用的醋的量。我还需要知道每个杯子里的醋的量是否会不同。
en_000037	为了复制这个实验，我需要知道每种材料的用量，然后再去寻找质量。我需要知道在每种材料上要倒多少醋。虽然他们在数据中显示了材料，但他们仍应在程序中列出这些材料。
en_000038	我需要知道这个实验的目的是_什么，知道每个样品的质量差异，我还需要知道他们认为的起始和结束质量的估计值。
en_000039	他们应该在每个样品中加入多少醋。为了使这个实验更加准确，他们还应该加入更多的试验，以及加入_一个恒定的变量，如只在水中加入一块石头。
en_000040	为了复制这个实验，我需要知道，首先如何计算样品的质量。我还需要知道这_四个样品是什么，因为程序中没有说明。最后，为了重复这个实验，我需要知道每个容器里放了多少醋。
en_000041	复制数据所需的其他信息是：实验需要_什么设备，将使用什么材料，每种材料将使用多少？
en_000042	为了复制这个实验：你需要知道倒在容器中的醋的量。你还需要知道倒入醋的容器是_什么颜色。此外，你还需要知道用蒸馏水冲洗样品的数量或时间。
en_000043	看完程序后，我首先需要知道我正在测试的样品是_什么，其次我^p需要知道每个容器里放多少醋，接下来程序应该告诉我用蒸馏水冲洗每个样品的情况。
en_000044	确定不同的样品是_什么，然后说明你将在每个样品中加入多少醋。说明你要将材料在水中上升多长时间。(例如5分钟)
en_000045	为了复制这个小组的实验，我需要很多额外的信息。首先，我需要知道他们所使用的_四个样品是什么（岩石树皮）。
en_000046	"""我认为实验应该使描述更加具体，以免被混淆和弄错杯子。例如，他们可以说""""每个软木样品""""，以及""""将样品放入标有'A'的杯子"""""
en_000047	"""需要包括的_一个额外的东西是这四个样品是什么材料或物体，另一个不包括的东西是需要放在每个容器中的醋的量。""""一个样品""""这句话并没有说明每块石头需要的确切数量。需要重复这个实验来验证结果""。"
en_000048	每个样品可以有_1个以上的测试。也可以有一个常数加入到计算中。另外，在实验中还有一些软性规定，如在眼睛前戴上护目镜，在接触醋时戴上手套。
en_000049	他们应该做更多的笔记，这样的话，_万一他们搞砸了，他们可以有一个如何重新做的信息。
en_000050	你应该倒多少醋，贴_什么标签，什么时候坐，坐30分钟就干...标签。容器的reapetedly，独立但相同的conatainer。我们应该使用什么容器？
en_000051	为了复制这个实验，我需要知道不同的容器是_什么。我还需要知道有多少种不同的材料以及每种材料的起始质量是多少。
en_000052	在实验中，我将确定每个样品的质量，将醋放入_一个容器，然后贴上标签。我将等待24小时，然后倒出醋并用水冲洗干净。让样品干燥并找出质量差异
en_000053	为了完成这个实验，应该包括_三个额外的东西。第一是杯中的醋的量。第二是在程序中列出远处的样品。第三是记录获得的信息。
en_000054	为了复制小组的，我需要知道在_四个容器中各倒多少醋，多长时间的容器，你需要添加多少样品你需要冲洗样品。
en_000055	该程序需要说明其使用的_四种类型的样品，（大理石、石灰石、木材、塑料）。你需要确定你在每个杯子里倒入多少醋。你需要一个固定的量。你也可以在不同的时间做。所以你可以在30分钟和45分钟时做，看看质量是否随时间有变化。
en_000056	我需要复制这个实验的信息是：_四个不同的样品，四个相同的容器，让样品放置的时间，以及冲洗样品的产品，这样我可以让它们放置更长时间。
en_000057	要重复这个实验，你需要得到上次实验中使用的平均值，让它放置_28小时而不是24小时，然后冲洗并记录质量的变化。
en_000058	我们需要知道进入每个容器的醋的确切数量，以确保每个样品的结果公平。我们还需要有_一个固定的起始质量，这样所有的样品都有相同的数量，否则结果将不可靠。我们还需要知道容器的种类和大小，因为如果样品的容器有不同的体积和形状，结果可能是不可靠的。
