,Unnamed: 0,id,text,prompt,score
238,238,de_000239,Wie lange werden die Proben abgespült? Wie viel Essig wird verwendet? Was für Behälter werden verwendet? Werden die Behälter geschlossen?,1,3
287,287,de_000288,"Größe Behälter, Menge Flüssigkeit, Form uns Größe der Proben",1,3
268,268,de_000269,"küssender Regen kommt aus Marmor, wenn Geld in Form von Staub und strömendem küssendem Regen aus dem Boden gehoben wird",1,0
188,188,de_000189,"Wiederholungen sind für jeden Materialtyp erforderlich (mindestens drei), damit die Ergebnisse genauer sind. Es sind Daten über die physikalischen Materialverluste erforderlich, die eine Vorabprüfung des Materials ermöglichen.  Es ist erforderlich, das Experiment für eine längere Zeit auszuwerten, um einen ausgeprägteren Effekt zu erkennen.",1,0
52,52,de_000053,Die Bestimmung der Massen der Proben. Die Dauer der Trocknungszeit der Proben. Die Bestimmung des Gewichts der Masse nach der Trocknungsdauer.,1,0
123,123,de_000124,man benötigt nochmals die proben des holz da die zahlen gleiches datenmaterial ergaben,1,0
175,175,de_000176,das Material muss wieder vollständig getrocknet sein.,1,0
198,198,de_000199,"Es ist wichtig, alle Elemente zur Hand zu haben und jeder der angezeigten Anweisungen zu folgen",1,0
151,151,de_000152,"Genaue angabe der milligram jeder probe vor und nach dem experiement. Andere proben benutzen, wie zum beispiel stahl, metall, zement, glas usw. Andere zeit abschnitte sind noetig, zum beispiel 1 stunde oder 1 woche.",1,0
299,299,de_000300,Keine ,1,0
190,190,de_000191,"Es ist wichtig, alle Elemente zur Hand zu haben und jeder der angezeigten Anweisungen zu folgen",1,0
269,269,de_000270,die proben kürzer oder länger im behälter lassen. die proben kürzer oder länger trocknen lassen.  mich würden die grösse der proben interessieren,1,1
196,196,de_000197,waren die Proben komplett bedeckt wie war die Temperatur wie viele Prozent haben die Proben verloren,1,1
21,21,de_000022,Wie viel Essig wird benutzt Ist die Probe nach 30 Minuten genauso trocken wie zu Beginn Wie hoch ist die Raumtemperatur,1,1
82,82,de_000083,Welche Materialien wurden getestet? Wie wurde der saure Regen simuliert? Wie lange war die Testphase?,1,1
249,249,de_000250,"- Form der Proben / Größe der Oberfläche, die dem Essig ausgesetzt ist - Konzentration des Essigs - Genaue Zusammensetzung der Proben",1,2
110,110,de_000111,"Umgebungstemperatur,  Volumen Essig, volumen dest. Wasser zum spülen",1,2
17,17,de_000018,Reiner Essig oder Essigessenz Welche Menge Essig Welche Temperatur,1,2
294,294,de_000295,Wieviel Essig muss in den Behälter gefüllt werden und wie lange wird das Material mit destilliertem Wasser abgespült,1,2
