,Unnamed: 0,id,text,prompt,score
13,13,fr_010014,我们还需要包括干燥样品的质量，因为随着水的干燥，质量会变得比提供的质量重量轻。,1,1
21,21,fr_010022,所有的信息都在盒子里,1,0
25,25,fr_010026,1. 用了多少醋？2. 是否再次使用相同的醋？3. 使用的是什么类型的醋？,1,2
32,32,fr_010033,它还包含重要的信息和最受欢迎的细节，所以我不想要其他东西。,1,0
35,35,fr_010036,1. 1.确保衡器得到适当的校准 2.确保衡器得到适当的校准。始终使用相同的余额 3. 同时检查所有样品的重量,1,1
39,39,fr_010040,什么是样品材料，对于步骤3中提到的程序，多少样品才够用？而在步骤4中的24小时等待期内，容器应该放在什么温度下？,1,2
57,57,fr_010058,牛的结果是最高的。,1,0
71,71,fr_010072,所有研究的目的都是为了描述和解释变化。 这是很好的定义。我们可以将从我们的问题中收集到的信息进行量化。排除猜测。它是具体的。 被研究和操纵或修改的变量。在实验中可以观察到它的直接影响。例子可以是：温度、水量和光线。我的意思是，他们可以被操纵。,1,0
76,76,fr_010077,1. 检查醋对样品的影响 2. 样品的质地 3.进行实验的正确容器类型,1,2
94,94,fr_010095,我到底应该在容器里放多少醋？容器的材料是否相关？那么样品的大小呢？,1,3
103,103,fr_010104,我将需要大理石、石灰石、木材和塑料样品来重复实验。,1,0
107,107,fr_010108,我应该评估每个学生是如何展示每个醋在杯子里的过程的。 我还需要看到每个杯子里醋的质量。,1,0
169,169,fr_010170,新的设计趋势，可成型的塑料，增加白色颜料的薄度,1,0
177,177,fr_010178,你需要知道要测试哪些材料。你需要知道使用_什么尺寸/表面积的材料。你需要知道每个样品用蒸馏水冲洗了多长时间。,1,3
205,205,fr_010206,确定样品的重量、尺寸和面积。,1,2
220,220,fr_010221,环境温度对每个例子的质量变化至关重要,1,1
239,239,fr_010240,确定_四个不同样品的质量。,1,1
250,250,fr_010251,最平等的样品是大理石和石灰石。=_20.2起始质量,1,0
260,260,fr_010261,我们可以在标签上注明我们可以倒入其他物质如HCL找到_一个精确的值,1,0
