,Unnamed: 0.1,Unnamed: 0,id,text,prompt,score
0,177,177,fr_010178,You need to know which materials to test. You need to know what size/surface of the materials should be used. You need to know how long each sample has been rinse with distilled water.,1,3
1,94,94,fr_010095,Exactly how much vinegar should I put in the containers? Is the material of the containers relevant? What about the size of the samples?,1,3
2,57,57,fr_010058,Cows have the highest score compared to others.,1,0
3,260,260,fr_010261,We can label left can pour other substances as a HCL to find a precise value,1,0
4,103,103,fr_010104,"I would need marble, limestone, wood and a plastic sample to reproduce the experiment.",1,0
5,32,32,fr_010033,"It also contains important information and the most sought-after details, so I don’t want anything else.",1,0
6,250,250,fr_010251,The most equal samples are marble and limestone. = 20.2 Mass of start,1,0
7,71,71,fr_010072,"The purpose of any research is to describe and explain the variation.  It is well defined. We can quantify the information collected from our query. Exclude the speculation. It is specific.  The variable that is studied and manipulated or modified. Its direct effect is observed in the experiment. Examples can be: temperature, quantity of water and light. They can be manipulated.",1,0
8,21,21,fr_010022,All information is in the box.,1,0
9,169,169,fr_010170,"new design trend, moldable plastic, increased white pigment thinning",1,0
10,107,107,fr_010108,I should evaluate how each student shows the process of each vinegar in the cup.I also need to see the vinegar masses in each cup.,1,0
11,35,35,fr_010036,1st The balance is well calibrated 2. Always use the same balance 3. Check the weight of all the samples at the same time.,1,1
12,239,239,fr_010240,Determine the mass of four different samples.,1,1
13,220,220,fr_010221,the ambient temperature was essential for the mass change of each of the examples,1,1
14,13,13,fr_010014,"We also need to include the mass of the dried sample, because when the water dries, the mass will become lighter than the mass weight provided.",1,1
15,205,205,fr_010206,"Determine the weight, measurement and surface of the sample.",1,2
16,25,25,fr_010026,1st How much vinegar was used? 2nd Is the same vinegar reused? Three What type of vinegar is used?,1,2
17,39,39,fr_010040,What is the sample material and how much sample is sufficient for the procedure mentioned in step _3? And at what temperature should the containers be left within 24 hours of waiting for step 4?,1,2
18,76,76,fr_010077,1st Check the effect of vinegar on samples 2. The texture of samples 3.good type of containers to conduct the experiment,1,2
