,Unnamed: 0.1,Unnamed: 0,id,text,prompt,score
0,177,177,fr_010178,Debe saber qué materiales probar. Debe saber qué tamaño/superficie de los materiales se debe utilizar. Debe saber cuánto tiempo cada muestra se enjuaga con agua destilada.,1,3
1,94,94,fr_010095,¿Cuánto vinagre debo poner en los recipientes? ¿El material de los recipientes es relevante? ¿Y el tamaño de las muestras?,1,3
2,57,57,fr_010058,los bovinos tienen el mayor resultado en comparación con los demás,1,0
3,260,260,fr_010261,podemos etiquetar lewe can derramar otras sustancias como un HCL encontrar un valor preciso,1,0
4,103,103,fr_010104,"Necesitaría mármol, caliza, madera y una muestra de plástico para reproducir el experimento.",1,0
5,32,32,fr_010033,"También contiene información importante y los detalles más buscados, por lo que no quiero nada más.",1,0
6,250,250,fr_010251,Las muestras más iguales son el mármol y el calcario. =_20.2 masa de partida,1,0
7,71,71,fr_010072,"El objetivo de toda investigación es describir y explicar la variación.  Esto está bien definido. Podemos cuantificar la información recopilada a partir de nuestra consulta. Exclusión de la especulación. Eso es específico.  La variable que se estudia y manipula o modifica. Su efecto directo se observa en el experimento. Los ejemplos pueden ser: la temperatura, la cantidad de agua y la luz. Es decir, pueden ser manipulados.",1,0
8,21,21,fr_010022,Toda la información está en la caja.,1,0
9,169,169,fr_010170,"nueva tendencia de diseño, plástico moldeable, aumento del adelgazamiento del pigmento blanco",1,0
10,107,107,fr_010108,Debería evaluar cómo cada alumno muestra el proceso de cada vinagre en la taza.También necesito ver las masas de vinagre en cada taza.,1,0
11,35,35,fr_010036,1o La balanza está bien calibrada 2. Utilice siempre la misma balanza 3. Comprobar el peso de todas las muestras al mismo tiempo,1,1
12,239,239,fr_010240,Determinar la masa de cuatro muestras diferentes.,1,1
13,220,220,fr_010221,la temperatura ambiente era esencial para el cambio de masa de cada uno de los ejemplos,1,1
14,13,13,fr_010014,"También debemos incluir la masa de la muestra seca, porque cuando el agua se seca, la masa se vuelve más ligera que el peso de masa suministrado.",1,1
15,205,205,fr_010206,"Determine el peso, la medida y la superficie de la muestra.",1,2
16,25,25,fr_010026,1o ¿Cuánta cantidad de vinagre se ha utilizado? 2o ¿Se reutiliza el mismo vinagre? 3o ¿Qué tipo de vinagre se utiliza?,1,2
17,39,39,fr_010040,¿Cuál es el material de la muestra y qué cantidad de muestra es suficiente para el procedimiento mencionado en el paso _3? ¿Y a qué temperatura debo dejar los contenedores dentro de las 24 horas de espera del paso 4?,1,2
18,76,76,fr_010077,1o Compruebe el efecto del vinagre en las muestras 2. Textura de muestras 3.buen tipo de contenedores para llevar a cabo el experimento,1,2
