,Unnamed: 0,ItemId,PromptId,Score1,AnswerText
0,751,3_5682,3,0,"Pandas og koalas ligner hinanden, fordi de begge spiser planter. Pandas og koalas adskiller sig fra pythoner, fordi de er de fleste reptiler. Pythoner spiser også levende ting."
1,1326,3_6291,3,0,"Pandas i Kina ligner koalas i Australien, fordi de begge er generelle arter. Python er en specialiseret art. Artiklen siger, at ""vi lever i en tidsalder, der efterlader generalister snarere end specialister"". Folk generelt tendens til at forholde sig bedre til en panda end en slange. Artiklen siger, at det er ""ingen fejl"", at de generalistiske arter klarer sig bedre i de steder, de lever i."
2,1433,3_6401,3,0,"Kinesiske pandaer ligner australske koalaer, fordi de i det væsentlige spiser det samme. De adskiller sig fra pythoner, fordi de ikke spiser andre dyr. De fleste mennesker ville tro, at en panda er bedre end en python, fordi slanger kan være farlige."
3,338,3_5258,3,0,"pandas i Kina og koalaer i Australien er ens, fordi de bliver uddøde, hvilket er forskelligt, fordi pythoner bliver mere populære, fordi i afsnit 3 står der: ""Kæledyret stigende estimerer, at 4,8 millioner husstande nu indeholder en eller flere reptiler, et tal, der næsten fordoblet i et årti."
4,1404,3_6371,3,0,Panda og koala spiser samme slags planter.
5,719,3_5649,3,0,"Pandas ligner koalas, fordi de begge er specialiserede arter, og de begge spiser meget lidt. De vil også blive truet, da jorden fortsætter med at industrialisere og ekspandere."
6,611,3_5538,3,0,"Pandas i Kina og koalas i Australien de er begge ens, der spiser planter og ikke spiser kød eller mennesker de er forskellige fra pythoner, at de er bjørne pythoner er en sneak og python spiser ikke planter."
7,1007,3_5951,3,0,"Pandas og koalas i Astralia og Kina er de samme, fordi de ikke er truet, og de er ikke kept som kæledyr. Forskellen er, at de har kæledyr som pythoner."
8,1759,3_6754,3,0,"I historien forklarer den, hvordan pandaen fra Kina kun spiser bambus, og hvordan den australske koala udelukkende spiser eukalyptusblade. Dyrene spiser, hvad de kan og vil."
9,1872,3_6903,3,0,"Hvordan pandaer i Kina ligner koalaer i Australien er, at de er bjørne, og de begge spiser næsten de samme ting, de begge kan klatre træer: de spiser blade og frugt. De er begge forskellige fra pythoner, fordi de ikke er en reptil, og de kan ikke passe samme mængde i munden i en bid som en python. De spiser ikke det meste af, hvad pythoner spiser, og de smider heller ikke skind/skalaer der."
10,1885,3_6924,3,0,"Der er både en form for bjørn, og bor hvor derfra. En slange er en reptil og kan ikke overleve i hele USA."
11,2046,3_7175,3,0,"Ifølge artiklen ligner den kinesiske panda og den australske koala, fordi begge dyr næppe spiser en række forskellige fødevarer. Det kan øge fødevaren til befolkningen i deres land. Begge dyr er forskellige fra pythoner, fordi de i modsætning til pythoner er sikre at være omkring. Og ifølge artiklen er pythoner kødædere, men pandas og koalaer spiser kun planter."
12,1048,3_5995,3,0,"Den kinesiske panda og den australske koala ligner hinanden, fordi de begge er bjørne. Pythoner adskiller sig fra dem, fordi de er slanger, og de spiser ikke planter og blade."
13,1798,3_6799,3,0,"Pandas i Kina ligner koalas i Australien, fordi de er vant til årstiderne og kan overleve. De er forskellige fra pythoner, fordi hvis pythoner går til kolde steder, kan de dø, fordi de ikke kan håndtere vejret. Det er derfor, de bor i steder som Florida og Texas."
14,200,3_5118,3,0,Kinas panda og Australiens koalaer er begge herviborer og de er begge forskellige fra pythonerne er kødædere og en trussel mod mennesker.
15,616,3_5543,3,0,"Pandaer og koalaer ligner hinanden, fordi de begge er bjørne. De lever i forskellige områder, men kunne tilpasse sig kendte steder, hvis de ønskede at pythoner er reptiler og kan ikke tilpasse sig klimaer, der er forskellige fra dem, de bor i."
16,24,3_4942,3,0,"Pandas i Kina og koalas i Australien er ens, fordi de begge spiser mad fra naturen, for eksempel pandas spiser bambus, og koalas spiser eukalyptusblade. Forskellen mellem de to koalaer og pandaer fra en python er de forskellige miljøer, de lever i. For eksempel lever pythoner langs kanalerne i Cape Coral, pandas og koalas bor i nærheden af skoven"
17,1585,3_6563,3,0,"Pandas i Kina ligner koalas i Australien, fordi de begge er specialister. Forskellen er, at pandaen spiser næsten intet andet end bambus, og koalaen spiser eukalyptus og blade næsten udelukkende. Og en python adskiller sig fra pandas og koalas, fordi de er vilde dyr."
18,1187,3_6141,3,0,"Pandas og koalas ligner hinanden, fordi de begge lever ensomme liv, fordi de er brændende med menneskelig hensigt, og de spiser kun én ting."
19,2144,3_7328,3,0,"De ligner hinanden, fordi de begge er bjørne og lever i samme klima. De adskiller sig fra pythoner, fordi en python er en reptil og en polarbjørn og koaks er ikke."
20,1620,3_6604,3,0,"Pandas i Kina ligner koalas i Australien, fordi de begge er harmløse skabninger. Pandas spiser næsten intet ud over bambus, og koala bjørne spiser næsten udelukkende eukalyptusblade. De er begge forskellige fra pythoner, fordi de ikke spiser eller skræmmer mennesker. En python æder mennesker, hvis de får chancen. Pandas og koalas er harmløse, og en python er skadelig."
21,218,3_5136,3,0,"Pandaer og koalaer er ens, og de er begge sjældne dyr. De er forskellige, fordi pandas ikke spiser andet end bambus og koalaer spiser andet end eukalyptusblade."
22,468,3_5390,3,0,"Selvom pandaer lever i Kina og spiser næsten intet udover bambus og koalaer lever i Australien og spiser næsten intet udover eukalyptusblade, har de begge en stor lighed. De er begge eksperter. En python er også en specialist, der giver disse 3 dyr noget til fælles."
23,2036,3_7162,3,0,"Pandanas fra Kina som den varme wether og koalas fra Australien som den varme wether til, hvordan de er ens. De adskiller sig fra pythoner, fordi de ikke er snacks."
24,1804,3_6805,3,0,"De er ens, fordi de ikke er så synlige som reptiler og reptiler er mere farlige end de to."
25,594,3_5520,3,0,"Pandas i Kina ligner koalas i Australien, og de spiser ikke andet end blade. De er begge forskellige fra pythoner, fordi der i artiklen siges, at en python kan nå syv fod i længden. Pythoner ses på flere steder i fjerntliggende områder af Everglades."
26,1212,3_6169,3,0,"De ligner hinanden, fordi de begge spiser planter. Pandaen spiser bambus og koalaen æder blade."
27,1272,3_6235,3,0,"Pandas i Kina ligner koalas i Australien på grund af deres kost. I punkt 21 står der: ""En specialist er den kinesiske panda, der spiser næsten intet andet end bambus, eller den australske koala bjørn, der spiser eukalyptusblade næsten udelukkende. Dette viser, at de er harmløse, fordi de er vegetarisk kost."
28,1304,3_6269,3,0,"Pandaer og koalaer er ens, fordi de begge ikke spiser kød og er ikke trusler. De adskiller sig fra cobras, fordi cobras er meget dødelige dyr og spiser alt."
29,643,3_5571,3,0,Pandas i Kina og koalas i Australien adskiller sig fra pythoner. Pandaer spiser næsten ikke andet end bambus og koalaer spiser udelukkende eukalyptusblade.
30,1292,3_6256,3,0,"Pandas i Kina ligner koalas i Australien, fordi de næppe spiser noget. En panda og en koala adskiller sig fra en python er ikke uden på miljøbevidsthed."
31,513,3_5437,3,0,"Pandaer i Kina ligner koalaer i Australien, fordi pandaer i Kina spiser næsten intet andet end bambus og australske koalaer spiser eukalyptusblade. Det er forskelligt, fordi de spiser planter og pythoner spiser dyr."
