,Unnamed: 0,id,text,prompt,score
10,10,de_000312,Me temo que no lo sé. Así son las cosas.,2,0
13,13,de_000315,Conclusión: El plástico puede deformarse plásticamente. Mejora: no pegar (posible efecto químico) sino sujetar.,2,2
72,72,de_000374,"a) Dependiendo del material, se estirará más b) Tomar medidas de peso C) Colgar del techo",2,1
74,74,de_000376,El alumno se familiarizó y fue más constante durante el experimento. Realice varios ensayos directamente sobre una muestra de plástico. Realice más de dos ensayos por muestra de plástico.,2,1
100,100,de_000402,"En tres muestras, el estiramiento fue diferente en la primera y en la segunda pasada. Mejora: - No pegar la muestra de plástico al borde de la mesa, sino fijarla a una pinza - Determinar el resultado en una unidad de medida más pequeña.",2,2
126,126,de_000428,"Su función es aumentar el rendimiento del betún Esto aumenta, por ejemplo, la tolerancia a la temperatura y al frío El rendimiento del betún se expresa como """"Performace Grade"""" y suele ser el PG64-10 previo a la adición del polímero Es decir, es capaz de mantener la temperatura hasta 64 y la más baja -10 Cuando se añade el polímero, se convierte en PG70-16 Es decir, su eficacia aumenta hasta 70 grados centígrados Surge la pregunta: ¿y si el betún PG64-10 y el asfalto tienen una temperatura de 70 o superior a -10?  Si la temperatura supera los 64, la capa asfáltica será blanda y si se superan las cargas, no se sabrá En cambio, si la temperatura alcanza más de -10, el betún se solidificará y comenzarán las grietas en la superficie del hormigón asfáltico",2,0
137,137,de_000439,"a. Las dos primeras muestras estiradas han aumentado b.las dos siguientes se han mantenido casi igual El experimento debe hacerse entre cuatro paredes para que no se diferencie del gas D.utilizar diferentes tipos de plástico, por lo que puede tener diferentes resultados",2,0
140,140,de_000442,"Los tipos de plástico A + B se han alargado. El tipo de plástico D ha permanecido igual. Y la tarjeta C se ha acortado, eso parece poco probable. La prueba debe realizarse de nuevo con pesos más pesados. Las pesas también deben permanecer más de cinco minutos.",2,0
147,147,de_000449,"No pegues el plástico, sino fíjalo a un marco con un gancho. No retire el peso antes de la medición.",2,0
152,152,de_000454,"a) El plástico A es el más elástico, el plástico C se desgarrará en algún momento b) Construcción estacionaria firme de todos los materiales de prueba con escala de longitud adjunta",2,0
156,156,de_000458,- ¿se reutiliza el plástico en la segunda pasada (D2)?,2,0
176,176,de_000478,El plástico estaba estirado. La construcción de la prueba se puede mejorar con el peso.,2,0
178,178,de_000480,"Conclusión: alargamiento diferente según el material utilizado, B y D así como A y C son bastante similares.    El peso debe definirse para que sea el mismo Los plásticos deben tener la misma longitud",2,3
185,185,de_000487,a) todos los plásticos poliméricos están estirados excepto la muestra C b) 1.debería haber utilizado varios plásticos del mismo tipo y ponerlos uno al lado del otro y luego comparar los resultados entre sí 2.también debería haber utilizado pesos dobles y luego ver si también están doblemente estirados,2,1
196,196,de_000498,"¿cuánto cedió el pegamento, cuánto creció el agujero, cuánto pesaron las pesas?",2,0
201,201,de_000503,"No se indica la longitud de la pieza de plástico. Las piezas de plástico de la misma longitud serían más adecuadas para la comparación. Como alternativa, tendría más sentido una indicación porcentual del alargamiento como resultado. En lugar del ABC de NAmen, sería relevante para una consideración de resultados qué plásticos están involucrados.",2,2
218,218,de_000520,La muestra A es la más extensible de las cuatro resinas poliméricas. La muestra C es retráctil.  Se pueden evaluar diferentes espesores de material Se pueden evaluar diferentes condiciones ambientales de calor y humedad.,2,0
238,238,de_000540,¿Qué peso tienen las pesas? ¿Qué grosor tiene el plástico? ¿Todas las muestras tienen el mismo grosor?,2,2
296,296,de_000598,"a. El plástico tipo A es el que más se estira (no sólo la mayor diferencia, también en porcentaje. D es el único tipo que no cambia. b. Cambiando el tiempo de la prueba (1. 5 min, 2. 10min, 3. 15 min); La misma longitud de la muestra (también la misma longitud colgando libremente).",2,1
