,Unnamed: 0,ItemId,PromptId,Score1,AnswerText
0,33,8_19986,8,0,ეს არის კარგი ადამიანი
1,1413,8_21366,8,0,"ინფორმაცია, რომელიც პოლი იპოვდა, შეიძლება შეშფოთოს მას, ისევე, როგორც ის გრძნობს, რომ ლინარდი მრგვალი გაქირავებული.  უბრალოდ პოსტი გამოქვეყნოს რაღაც, მაშინაც კი აჩვენებს მას, რომ ეს უარყოფს მას ძალიან."
2,1571,8_21524,8,0,"Paul- ის საწყისი მონაცემები, რომლებიც იპოვებენ მენეჯერი Leonard- ის შესახებ, ხელს უწყობს მას. ეს არის ნათელი, რადგან, როდესაც ის გითხრათ, რომ მენეჯერი Leonard, ის ეწვიეთ ქვემოთ, და მისი ხმა დაშორდა. მას გრძნობს, რომ მას არ აქვს შანსი, რადგან ის იწყება ნაცვლად და მინი Leonard იყო სტრუქტურული athlete კლასის და კოლეჯის."
3,684,8_20637,8,0,"ის ფაქტი, რომ ლინარდ გამოჩნდა კოლეჯის და დაკარგა მისი სტუდენტაცია, რადგან ის არ შეუძლიათ წაიკითხოთ ნამდვილად ეფექტი Paul, რადგან ის არ შეუძლიათ წაიკითხოთ ძალიან კარგად."
4,1119,8_21072,8,0,რა?
5,937,8_20890,8,0,"პოლი იყო კაცი, რომელიც გრძნობს შეუზღუდავი და ყოველთვის აირჩიეთ ბოლო და მინი Leonard აირჩიე მას.  ის იცის, რა არის, რომ შეუწყოს, რომ არ შეუძლიათ გააკეთოთ რაღაც, რადგან ის შეუწყდა უნივერსიტეტში.  მას მოტივებს პოლოს გააკეთოს შეუზღუდავი და აჩვენა მას, თუ რა შეუზღუდავი არიან ცხოვრებაში. იგი ასევე აღმოაჩინა, რომ ის არ არის კარგი წაიკითხვა, ასე რომ ის შეუზღუდავი და გსურთ დაეხმაროს."
6,697,8_20650,8,0,"ის იპოვებს, რომ პოლი არის კარგი გოგონა, რომელიც შეუძლია სწრაფად მოპოვოს რამ. ასე რომ, ის დაგეხმარებათ ის, რომ ის გაიგოს ერთი რამ, რათა ის გაიგოს, თუ როგორ უნდა გაიგოს უკეთესი"
7,336,8_20289,8,0,"ეს აჩვენებს Paul, რომ გარეშე სკოლა, თქვენ არ შეგიძლიათ გააკეთოთ არაფერი. ლინარდი კოლეჯში ეწვევს სტუდენციას, მან ამბობს, რომ მათ განაცხადა, რომ მას გაქვთ ტატორები. ის გსურთ, რომ პლაჟს პირველი კარგი სტუდენტს იყოს."
8,1451,8_21404,8,0,"მას შემდეგ, რაც პოლ გაიგებს ლინარდის ისტორიას, პოლ იფიქსირებს, რომ ლინარდ ეფუძნება მას, რომ უფრო ძვირადღირებს მისი მიზნებს. ლიდერი არ შეუძლიათ წაიკითხოთ, რაც შეიცვალა მისი მთელი ცხოვრება. ის შეუზღუდავი პოლი. პოლი შემდეგ განიხილება, რომ მას უნდა გადაიხადოს მისი შეუზღუდავი წაიკითხვა, რადგან ის არ გსურთ დატოვოს, როგორიცაა მინი Leonard."
9,2240,8_22193,8,0,"ლიდერი აქვს იგივე პრობლემა, რაც პოლ გაქვთ. მიუხედავად იმისა, რომ პოლი არ შეუძლიათ ამავე დროს, ის slowly but surely იპოვებს და მრგვალი Leonard შეუწყობს ამ შესახებ. პოსტი გაიგო, რომ მას შეუძლია კარგად გააკეთოს და გადაიხადოს ის, რაც მას კარგია."
